country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,acceso_elec
Guyana,767111.1111111111,2.016,97.984,2.016,0.0,1270.1381111111111,1296.1365555555556,100.0
Haiti,10689444.444444444,14.955111111111112,85.04488888888889,14.955111111111112,0.0,76.73088888888888,90.09266666666667,100.0
Honduras,9113777.777777778,53.59733333333334,46.40266666666667,53.59733333333334,0.0,428.4237777777778,927.2661111111112,99.0
Hong Kong,7202444.444444444,0.19344444444444445,99.80655555555556,0.19344444444444445,0.0,4976.7191111111115,4986.206,96.95
Hungary,9783666.666666666,59.7081,40.2919,10.7023,49.0058,1344.3844000000001,3323.0674,100.0
Iceland,330777.77777777775,99.98444444444445,0.015555555555555557,99.98444444444445,0.0,8.536555555555557,55140.612555555555,100.0
India,1309435221.3333333,21.8353,78.1647,18.6021,3.2331000000000003,692.2988,886.0115,100.0
Indonesia,258154222.2222222,13.58488888888889,86.41511111111112,13.58488888888889,0.0,750.7838888888889,870.9197777777778,100.0
Iran,78618555.55555555,7.6178,92.3822,6.1158,1.502,3175.2345,3440.4311000000002,100.0
Iraq,35296000.0,5.160777777777778,94.83922222222222,5.160777777777778,0.0,1769.8577777777778,1860.0155555555555,100.0
Ireland,4693666.666666667,27.8065,72.1935,27.8065,0.0,4387.2807999999995,6097.5606,100.0
Israel,7991444.444444444,2.076,97.924,2.076,0.0,7477.00611111111,7636.84488888889,99.9
Italy,60348555.55555555,37.6403,62.3597,37.6403,0.0,2976.991,4763.7875,100.0
Jamaica,2889222.222222222,9.148222222222223,90.85177777777777,9.148222222222223,0.0,1266.284111111111,1394.3538888888888,71.43794
Japan,127857666.66666667,22.3902,77.60979999999999,18.781,3.6094,6127.3351,7886.5678,91.96303
Jordan,9096111.111111112,4.386333333333333,95.61366666666667,4.386333333333333,0.0,1839.2614444444444,1925.0077777777778,100.0
Kazakhstan,17547333.333333332,10.3766,89.6234,10.3766,0.0,4751.8315,5300.8258000000005,99.98105
Kenya,47873222.222222224,79.83777777777777,20.162222222222223,79.83777777777777,0.0,38.39055555555555,194.63455555555555,100.0
Kiribati,111111.11111111111,10.330333333333334,89.66966666666667,10.330333333333334,0.0,220.48333333333332,246.74777777777777,100.0
Kuwait,3769666.6666666665,0.06133333333333334,99.93866666666666,0.06133333333333334,0.0,16784.82677777778,16795.183222222222,47.352737
Kyrgyzstan,5962111.111111111,91.424,8.576,91.424,0.0,203.0787777777778,2417.230666666667,27.53471
Laos,6749333.333333333,82.95022222222222,17.049777777777777,82.95022222222222,0.0,720.8941111111112,3164.3976666666667,69.70735
Latvia,1998555.5555555555,56.7076,43.2924,56.7076,0.0,1345.2675,3132.232,100.0
Lebanon,6299444.444444444,3.474555555555556,96.52544444444445,3.474555555555556,0.0,2759.9811111111107,2860.1773333333335,100.0
Lesotho,2061111.111111111,100.0,0.0,100.0,0.0,0.0,252.72444444444443,33.735077
Liberia,4475333.333333333,0.31855555555555554,99.68144444444445,0.31855555555555554,0.0,72.43255555555555,72.68566666666666,14.866769
Libya,6462444.444444444,0.024333333333333332,99.97566666666665,0.024333333333333332,0.0,4937.003888888889,4938.189444444444,100.0
Lithuania,2926333.3333333335,53.268600000000006,46.7314,53.268600000000006,0.0,605.1567,1256.3019,100.0
Luxembourg,567333.3333333334,43.3258,56.6742,43.3258,0.0,1867.3220000000001,2702.6528,50.561417
Malawi,16764333.333333334,91.23455555555556,8.765444444444446,91.23455555555556,0.0,10.254333333333333,120.13044444444444,47.34842
Malaysia,30288222.222222224,12.63011111111111,87.36988888888888,12.63011111111111,0.0,4118.003333333333,4726.648444444445,99.66165
Maldives,455777.77777777775,0.4555555555555555,99.54444444444444,0.4555555555555555,0.0,1120.7284444444444,1125.792222222222,99.4
Mali,17503333.333333332,52.55155555555555,47.44844444444445,52.55155555555555,0.0,75.16477777777777,154.45933333333335,100.0
Malta,431444.44444444444,7.0952,92.9048,7.0952,0.0,4063.425,4326.9128,98.1
Martinique,381000.0,2.7977777777777777,97.20222222222222,2.7977777777777777,0.0,3735.4872222222225,3846.745111111111,100.0
Mauritius,1259777.7777777778,21.80211111111111,78.19788888888888,21.80211111111111,0.0,1760.8767777777778,2251.8814444444447,100.0
Mexico,121765111.1111111,20.1356,79.8644,16.5899,3.5458,1944.8867999999998,2434.7102999999997,30.603832
Moldova,4066111.111111111,6.086444444444444,93.91355555555555,6.086444444444444,0.0,1197.0704444444445,1273.847888888889,56.258694
Mongolia,2997777.777777778,4.8538,95.1462,4.8538,0.0,1688.0587,1778.1172,100.0
Montenegro,626888.8888888889,55.74944444444444,44.25055555555556,55.74944444444444,0.0,2162.0702222222226,5001.308222222222,89.9
Montserrat,5000.0,0.0,100.0,0.0,0.0,3925.925888888889,3925.925888888889,100.0
Morocco,34644888.88888889,15.340222222222224,84.65977777777778,15.340222222222224,0.0,697.6771111111111,827.1425555555556,100.0
Mozambique,27142333.333333332,90.12611111111111,9.87388888888889,90.12611111111111,0.0,59.98044444444444,620.1696666666667,100.0
Namibia,2319777.777777778,97.59633333333333,2.4036666666666666,97.59633333333333,0.0,15.070222222222222,618.6383333333333,19.25191
Nauru,10333.333333333334,0.0,100.0,0.0,0.0,2721.8855555555556,2721.8855555555556,55.4
Netherlands,16929333.333333332,18.0553,81.9447,14.669599999999999,3.3857,5422.162200000001,6631.9520999999995,52.313545
New Caledonia,270555.55555555556,15.024333333333333,84.97566666666665,15.024333333333333,0.0,8474.586888888889,9927.835444444445,100.0
New Zealand,4608444.444444444,79.998,20.002000000000002,79.998,0.0,1858.2076000000002,9257.996799999999,75.37969
Nicaragua,6223888.888888889,52.80433333333333,47.19566666666666,52.80433333333333,0.0,320.2838888888889,682.2217777777778,100.0
Niger,20089000.0,1.463,98.53699999999999,1.463,0.0,22.702333333333332,23.062555555555555,96.704636
Niue,2000.0,0.0,100.0,0.0,0.0,1500.0,1500.0,100.0
North Korea,25177777.777777776,76.99288888888888,23.00711111111111,76.99288888888888,0.0,153.36444444444444,655.8844444444444,99.31181
Norway,5183000.0,98.111,1.889,98.111,0.0,506.8066,26928.8234,100.0
Oman,4195222.222222222,0.0074444444444444445,99.99255555555555,0.0074444444444444445,0.0,6981.535444444445,6982.072777777777,100.0
Pakistan,199660332.44444445,38.1531,61.846900000000005,32.795,5.3584000000000005,358.0959,579.9738,100.0
Palestine,4545666.666666667,0.03777777777777778,99.96222222222222,0.03777777777777778,0.0,94.61877777777778,94.6481111111111,100.0
Panama,3972000.0,66.893,33.107,66.893,0.0,788.7196666666666,2434.230555555556,100.0
Papua New Guinea,8115333.333333333,27.236333333333334,72.76366666666667,27.236333333333334,0.0,334.5276666666666,459.2343333333334,46.6
Peru,30663888.888888888,57.7494,42.2506,57.7494,0.0,640.5182,1520.7907,100.0
Philippines,101987333.33333333,25.849,74.151,25.849,0.0,598.4047,804.1582000000001,100.0
Portugal,10383444.444444444,51.2143,48.7857,51.2143,0.0,2496.9546,5119.3602,100.0
Puerto Rico,3317444.4444444445,4.257222222222222,95.74277777777779,4.257222222222222,0.0,5701.4508888888895,5981.054,100.0
