,country,gdp,coal_electricity,hydro_electricity,solar_electricity,other_renewable_electricity
106,North Korea,41.14997504,6.45805,12.35165,0.0046,0.0
107,Norway,340.0,0.0,128.5849523809524,0.009904761904761904,0.43109523809523814
108,Oman,108.25514532141176,0.0,0.0,0.0010999999999999998,0.0
109,Pakistan,662.0,4.558857142857143,30.00676190476191,0.2705714285714286,1.7436190476190476
110,Palestine,15.027640704,0.0,0.0,0.0,5e-05
111,Panama,49.69599156705882,0.5852,4.69775,0.0386,0.031
112,Paraguay,39.457970055529415,0.0,54.21405,0.0,0.17875000000000002
113,Peru,232.2941176470588,0.43490476190476185,21.751190476190477,0.16752380952380952,0.5106190476190476
114,Philippines,502.8235294117647,25.219619047619044,8.646142857142857,0.29995238095238097,10.61404761904762
115,Poland,718.1764705882352,134.29366666666667,2.1878571428571427,0.16471428571428573,4.981190476190476
116,Portugal,252.47058823529412,12.20957142857143,10.798142857142857,0.408952380952381,2.581142857142857
117,Puerto Rico,128.05882352941177,0.0,0.11105000000000001,0.17329999999999998,0.00215
118,Qatar,169.2191335002353,0.0,0.0,0.0026000000000000003,0.051750000000000004
119,Romania,311.70588235294116,19.80752380952381,16.24047619047619,0.6207619047619047,0.21257142857142858
120,Russia,2489.4117647058824,159.4797142857143,173.6385238095238,0.2331904761904762,3.072523809523809
121,Rwanda,12.068075791058824,0.0,0.1545,0.01595,0.00155
122,Saint Lucia,1.2911563369411765,0.0,0.0,0.00045000000000000004,0.0
123,Sao Tome and Principe,0.4684920602352941,0.0,0.006750000000000001,0.0,0.0
124,Saudi Arabia,965.5294117647059,0.0,0.0,0.041400000000000006,0.0
125,Senegal,26.859649144470588,0.0,0.25644999999999996,0.01565,0.0612
126,Serbia,97.92735801223529,17.879571428571428,7.199714285714285,0.004047619047619047,0.02795238095238095
127,Seychelles,1.7370461816470588,0.0,0.0,0.0009000000000000001,0.0
128,Sierra Leone,6.150900103529412,0.0,0.08199999999999999,0.0010999999999999998,0.00125
129,Singapore,268.11764705882354,0.0,0.0,0.07042857142857144,1.1455714285714285
130,Slovakia,108.13970980141177,4.045904761904762,4.3781904761904755,0.25533333333333336,0.8542380952380952
131,Slovenia,51.00842140611764,4.945761904761905,4.1102380952380955,0.11157142857142857,0.20023809523809524
132,South Korea,1484.1176470588234,178.53971428571427,3.506952380952381,3.0399523809523807,3.157904761904762
133,Spain,1397.0588235294117,51.64452380952381,29.850238095238097,7.394714285714285,4.202428571428571
134,Sri Lanka,154.50245086870586,1.05185,4.2939,0.0446,0.028500000000000004
135,Sudan,111.97030951152941,0.0,4.79355,0.00645,0.12705
136,Sweden,374.88235294117646,0.8624761904761906,67.40785714285714,0.08757142857142856,9.481571428571428
137,Switzerland,413.29411764705884,0.0,35.468380952380954,0.6805714285714286,2.5249047619047618
138,Syria,92.3626445402353,0.0,2.5085,0.0,0.033
139,Taiwan,834.3529411764706,109.03238095238095,4.352761904761905,0.8746190476190476,3.294952380952381
140,Tajikistan,18.574743311058825,0.0,16.454047619047618,0.0,0.0
141,Tanzania,80.225157632,0.0,2.2523,0.0158,0.03425
142,Thailand,721.7058823529412,27.61985714285714,6.307666666666667,1.333047619047619,6.425142857142857
144,Togo,7.837894083764707,0.0,0.08455,0.0009000000000000001,0.00235
145,Trinidad and Tobago,29.690398900705883,0.0,0.0,0.003,0.0108
146,Tunisia,100.00891479341176,0.0,0.071,0.04214285714285714,0.0
147,Turkey,1164.1764705882354,60.69504761904762,48.93233333333333,1.4958571428571428,3.215
148,Turkmenistan,62.75511118305882,0.0,0.0029500000000000004,0.0,0.0
149,Uganda,50.46256374964706,0.0,2.0863,0.023149999999999997,0.251
150,Ukraine,382.47058823529414,56.12352380952381,10.23047619047619,0.2940952380952381,0.11676190476190476
151,United Arab Emirates,495.94117647058823,0.0,0.0,0.3655,0.0018000000000000002
152,United Kingdom,2283.529411764706,97.14890476190476,5.1276190476190475,3.6372380952380956,16.453285714285716
153,United States,15064.70588235294,1640.7918571428572,265.4935238095238,26.45261904761905,72.58123809523809
154,Uruguay,46.93173802164706,0.0,6.978380952380952,0.08428571428571428,1.152095238095238
155,Uzbekistan,167.29832944941177,11.171949999999999,6.457649999999999,0.00155,0.0
156,Venezuela,357.0,0.0,70.66029999999999,0.0025,0.0
157,Vietnam,354.88235294117646,35.565333333333335,41.184619047619044,0.9279999999999999,0.05657142857142857
158,Yemen,78.86007524894117,0.0,0.0,0.0709,0.0
159,Zambia,33.226168741647065,0.23455000000000004,10.58295,0.0006500000000000001,0.0558
160,Zimbabwe,22.010569547294118,3.4259500000000003,4.78255,0.0033,0.08295
