,Unnamed: 0,country,gdp,fossil_share_energy,renewables_share_energy,low_carbon_share_energy,nuclear_share_energy,population,energy_per_capita,primary_energy_consumption
952,10824,New Zealand,,63.316,36.672,36.672,0.0,4743000.0,52598.183,249.473
953,10825,New Zealand,,64.587,35.4,35.4,0.0,4783000.0,53224.651,254.574
954,10826,New Zealand,,,,,,,,
955,11398,North Macedonia,16488744960.0,89.392,10.608,10.608,0.0,2035000.0,15055.559,30.638
956,11399,North Macedonia,16442976256.0,94.025,5.975,5.975,0.0,2043000.0,14152.292,28.913
957,11400,North Macedonia,15967979520.0,92.647,7.353,7.353,0.0,2049000.0,13776.284,28.228
958,11401,North Macedonia,15636939776.0,88.204,11.796,11.796,0.0,2053000.0,15457.443,31.734
959,11402,North Macedonia,16150679552.0,87.19,12.81,12.81,0.0,2057000.0,15225.219,31.318
960,11403,North Macedonia,17840580608.0,87.57,12.43,12.43,0.0,2060000.0,15673.761,32.288
961,11404,North Macedonia,18750242816.0,86.556,13.444,13.444,0.0,2063000.0,15901.51,32.805
962,11405,North Macedonia,20142632960.0,91.788,8.212,8.212,0.0,2065000.0,15819.644,32.668
963,11406,North Macedonia,22155749376.0,92.934,7.02,7.02,0.0,2067000.0,15282.089,31.588
964,11407,North Macedonia,23594805248.0,89.197,10.732,10.732,0.0,2069000.0,15004.935,31.045
965,11408,North Macedonia,24086999040.0,81.053,18.931,18.931,0.0,2071000.0,16166.964,33.482
966,11409,North Macedonia,23513716736.0,88.918,11.072,11.072,0.0,2072000.0,16200.692,33.568
967,11410,North Macedonia,24459335680.0,91.373,8.618,8.618,0.0,2074000.0,15041.899,31.197
968,11411,North Macedonia,25922627584.0,86.306,13.659,13.659,0.0,2076000.0,14383.441,29.86
969,11412,North Macedonia,27426119680.0,88.142,11.845,11.845,0.0,2078000.0,13355.293,27.752
970,11413,North Macedonia,28476256256.0,82.376,17.611,17.611,0.0,2079000.0,14017.299,29.142
971,11414,North Macedonia,29162700800.0,82.809,17.188,17.188,0.0,2081000.0,14529.675,30.236
972,11415,North Macedonia,,88.897,11.098,11.098,0.0,2082000.0,14022.744,29.195
973,11416,North Macedonia,,83.176,16.821,16.821,0.0,2083000.0,13942.511,29.042
974,11417,North Macedonia,,89.289,10.707,10.707,0.0,2083000.0,14919.496,31.077
975,11555,Norway,245000000000.0,28.872,71.128,71.128,0.0,4499000.0,123356.72,554.982
976,11556,Norway,245000000000.0,33.806,66.194,66.194,0.0,4523000.0,111306.045,503.437
977,11557,Norway,244000000000.0,32.04,67.96,67.96,0.0,4546000.0,115080.117,523.154
978,11558,Norway,255000000000.0,37.647,62.353,62.353,0.0,4570000.0,101378.312,463.299
979,11559,Norway,276000000000.0,37.218,62.782,62.782,0.0,4598000.0,102595.126,471.732
980,11560,Norway,328000000000.0,31.606,68.394,68.394,0.0,4632000.0,115926.929,536.974
981,11561,Norway,348000000000.0,34.637,65.359,65.359,0.0,4673000.0,105370.294,492.395
982,11562,Norway,352000000000.0,32.053,67.886,67.886,0.0,4719000.0,111888.058,528.0
983,11563,Norway,391000000000.0,31.27,68.561,68.561,0.0,4771000.0,113272.157,540.421
984,11564,Norway,339000000000.0,33.344,66.438,66.438,0.0,4827000.0,103478.749,499.492
985,11565,Norway,355000000000.0,35.978,63.742,63.742,0.0,4886000.0,98771.881,482.599
986,11566,Norway,399000000000.0,34.952,64.769,64.769,0.0,4948000.0,98589.015,487.818
987,11567,Norway,411000000000.0,31.238,68.452,68.452,0.0,5014000.0,107783.802,540.428
988,11568,Norway,406000000000.0,33.664,66.036,66.036,0.0,5079000.0,99572.271,505.728
989,11569,Norway,390000000000.0,32.14,67.58,67.58,0.0,5142000.0,101010.521,519.396
990,11570,Norway,396000000000.0,32.328,67.356,67.356,0.0,5200000.0,101181.008,526.141
991,11571,Norway,400000000000.0,30.778,68.478,68.478,0.0,5251000.0,101263.059,531.732
992,11572,Norway,,30.933,67.931,67.931,0.0,5296000.0,100801.799,533.846
993,11573,Norway,,31.878,67.264,67.264,0.0,5338000.0,99093.421,528.961
994,11574,Norway,,32.93,66.18,66.18,0.0,5379000.0,91240.272,490.781
995,11575,Norway,,,,,,,,
996,11793,Oman,41063723008.0,100.0,0.0,0.0,0.0,2268000.0,50496.891,114.527
997,11794,Oman,44382195712.0,100.0,0.0,0.0,0.0,2295000.0,55113.658,126.486
998,11795,Oman,46212362240.0,100.0,0.0,0.0,0.0,2335000.0,58949.086,137.646
