,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,population
1031,Australia,1010.0,93.14,6.86,0.0,23255000.0
1032,Australia,1020.0,93.756,6.244,0.0,23596000.0
1033,Australia,1050.0,93.496,6.504,0.0,23932000.0
1034,Australia,1070.0,92.793,7.207,0.0,24263000.0
1035,Australia,,93.115,6.885,0.0,24585000.0
1036,Australia,,91.647,8.353,0.0,24898000.0
1037,Australia,,91.433,8.567,0.0,25203000.0
1038,Australia,,,,,
1139,Austria,288.0,68.504,31.496,0.0,8069000.0
1140,Austria,283.0,70.611,29.389,0.0,8098000.0
1141,Austria,292.0,71.097,28.903,0.0,8134000.0
1142,Austria,293.0,76.133,23.867,0.0,8176000.0
1143,Austria,303.0,73.738,26.262,0.0,8217000.0
1144,Austria,312.0,73.453,26.547,0.0,8254000.0
1145,Austria,325.0,72.863,27.137,0.0,8285000.0
1146,Austria,337.0,70.595,29.405,0.0,8314000.0
1147,Austria,342.0,70.169,29.831,0.0,8342000.0
1148,Austria,336.0,67.33,32.67,0.0,8373000.0
1149,Austria,341.0,70.016,29.984,0.0,8410000.0
1150,Austria,350.0,70.927,29.073,0.0,8454000.0
1151,Austria,365.0,65.858,34.142,0.0,8502000.0
1152,Austria,368.0,66.523,33.477,0.0,8556000.0
1153,Austria,386.0,65.229,34.771,0.0,8615000.0
1154,Austria,389.0,66.893,33.107,0.0,8679000.0
1155,Austria,395.0,66.232,33.768,0.0,8747000.0
1156,Austria,,67.29,32.71,0.0,8820000.0
1157,Austria,,67.434,32.566,0.0,8891000.0
1158,Austria,,66.298,33.702,0.0,8955000.0
1159,Austria,,,,,
1180,Azerbaijan,20.935151616,96.754,3.246,0.0,8123000.0
1181,Azerbaijan,22.69737984,97.163,2.837,0.0,8197000.0
1182,Azerbaijan,23.994841088,95.567,4.433,0.0,8277000.0
1183,Azerbaijan,25.655795712,95.021,4.979,0.0,8361000.0
1184,Azerbaijan,27.73225472,95.134,4.866,0.0,8449000.0
1185,Azerbaijan,40.73084928,95.128,4.872,0.0,8539000.0
1186,Azerbaijan,58.473254912,95.883,4.117,0.0,8630000.0
1187,Azerbaijan,80.977575936,95.754,4.246,0.0,8724000.0
1188,Azerbaijan,89.38999808,96.055,3.945,0.0,8822000.0
1189,Azerbaijan,95.528968192,95.406,4.594,0.0,8924000.0
1190,Azerbaijan,115.0,93.094,6.906,0.0,9032000.0
1191,Azerbaijan,146.0,95.21,4.79,0.0,9146000.0
1192,Azerbaijan,150.0,96.855,3.145,0.0,9265000.0
1193,Azerbaijan,146.0,97.399,2.601,0.0,9385000.0
1194,Azerbaijan,149.0,97.735,2.265,0.0,9506000.0
1195,Azerbaijan,151.0,97.429,2.571,0.0,9623000.0
1196,Azerbaijan,145.0,96.875,3.125,0.0,9736000.0
1197,Azerbaijan,,97.155,2.845,0.0,9845000.0
1198,Azerbaijan,,97.135,2.865,0.0,9950000.0
1199,Azerbaijan,,97.52,2.48,0.0,10048000.0
1200,Azerbaijan,,,,,
1221,Bahamas,,,,,298000.0
1222,Bahamas,,,,,303000.0
1223,Bahamas,,,,,308000.0
1224,Bahamas,,,,,313000.0
1225,Bahamas,,,,,319000.0
