country,population,low_carbon_share_elec,fossil_share_elec,renewables_share_elec,nuclear_share_elec,fossil_cons_per_capita,per_capita_electricity,continente,iso_code,fossil_percentage,nuclear_percentage,renewables_percentage
Kazakhstan,17.54733333333333,10.3766,89.6234,10.3766,0.0,4751.8315,5300.8258000000005,Asia,KAZ,0.67889724164694,0.0,0.162760494914658
Kenya,47.87322222222222,79.83777777777777,20.162222222222223,79.83777777777777,0.0,38.39055555555555,194.63455555555555,África,KEN,0.15272883032934817,0.0,1.2522826575176451
Kiribati,0.1111111111111111,10.330333333333334,89.66966666666667,10.330333333333334,0.0,220.48333333333332,246.74777777777777,Oceanía,KIR,0.6792477116400466,0.0,0.16203478653573639
Kuwait,3.7696666666666667,0.06133333333333334,99.93866666666666,0.06133333333333334,0.0,16784.82677777778,16795.183222222222,Asia,KWT,0.7570353851100603,0.0,0.0009620341622592203
Kyrgyzstan,5.962111111111111,91.424,8.576,91.424,0.0,203.0787777777778,2417.230666666667,Asia,KGZ,0.06496319872225509,0.0,1.4340164877780484
Laos,6.749333333333333,82.95022222222222,17.049777777777777,82.95022222222222,0.0,720.8941111111112,3164.3976666666667,Asia,LAO,0.129152064126407,0.0,1.3011024056212779
Latvia,1.9985555555555554,56.7076,43.2924,56.7076,0.0,1345.2675,3132.232,Europa,LVA,0.32793992354983165,0.0,0.8894779640173526
Lebanon,6.299444444444444,3.474555555555556,96.52544444444445,3.474555555555556,0.0,2759.9811111111107,2860.1773333333335,Asia,LBN,0.7311802272852657,0.0,0.0544995838550871
Lesotho,2.0611111111111113,100.0,0.0,100.0,0.0,0.0,252.72444444444443,África,LSO,0.0,0.0,1.5685339602052504
Liberia,4.475333333333333,0.31855555555555554,99.68144444444445,0.31855555555555554,0.0,72.43255555555555,72.68566666666666,África,LBR,0.7550869268150507,0.0,0.004996652071009392
Libya,6.462444444444444,0.024333333333333332,99.97566666666665,0.024333333333333332,0.0,4937.003888888889,4938.189444444444,África,LBY,0.7573156601045475,0.0,0.0003816765969832776
Lithuania,2.9263333333333335,53.268600000000006,46.7314,53.268600000000006,0.0,605.1567,1256.3019,Europa,LTU,0.3539903480374524,0.0,0.8355360811258941
Luxembourg,0.5673333333333334,43.3258,56.6742,43.3258,0.0,1867.3220000000001,2702.6528,Europa,LUX,0.4293070565560668,0.0,0.6795798865306064
Madagascar,24.285777777777778,44.69677777777778,55.30322222222222,44.69677777777778,0.0,45.358,81.62544444444444,África,MDG,0.4189219000936632,0.0,0.7010841385619182
Malawi,16.764333333333337,91.23455555555556,8.765444444444446,91.23455555555556,0.0,10.254333333333333,120.13044444444444,África,MWI,0.06639824036069629,0.0,1.431044987331215
Malaysia,30.28822222222222,12.63011111111111,87.36988888888888,12.63011111111111,0.0,4118.003333333333,4726.648444444445,Asia,MYS,0.6618268953160256,0.0,0.19810758198943448
Maldives,0.45577777777777784,0.4555555555555555,99.54444444444444,0.4555555555555555,0.0,1120.7284444444444,1125.792222222222,Asia,MDV,0.7540491518354624,0.0,0.007145543596490584
Mali,17.503333333333334,52.55155555555555,47.44844444444445,52.55155555555555,0.0,75.16477777777777,154.45933333333335,África,MLI,0.35942195959728607,0.0,0.8242889955050178
Malta,0.43144444444444446,7.0952,92.9048,7.0952,0.0,4063.425,4326.9128,Europa,MLT,0.7037538461580415,0.0,0.11129062154448294
Martinique,0.381,2.7977777777777777,97.20222222222222,2.7977777777777777,0.0,3735.4872222222225,3846.745111111111,Norteamérica,MTQ,0.7363068188510986,0.0,0.04388409457552023
Mauritania,4.052888888888889,29.192888888888888,70.80711111111111,29.192888888888888,0.0,171.482,239.29277777777781,África,MRT,0.5363638561170601,0.0,0.4579003761872074
Mauritius,1.2597777777777777,21.80211111111111,78.19788888888888,21.80211111111111,0.0,1760.8767777777778,2251.8814444444447,África,MUS,0.5923489966825689,0.0,0.34197351681946
Mexico,121.76511111111111,20.1356,79.8644,16.5899,3.5458,1944.8867999999998,2434.7102999999997,Norteamérica,MEX,0.604972818100941,0.49022498700363504,0.26021821546409085
Moldova,4.066111111111111,6.086444444444444,93.91355555555555,6.086444444444444,0.0,1197.0704444444445,1273.847888888889,Europa,MDA,0.7113951693410795,0.0,0.0954679480801369
Mongolia,2.997777777777778,4.8538,95.1462,4.8538,0.0,1688.0587,1778.1172,Asia,MNG,0.7207324508240935,0.0,0.07613350136044243
Montenegro,0.6268888888888889,55.74944444444444,44.25055555555556,55.74944444444444,0.0,2162.0702222222226,5001.308222222222,Europa,MNE,0.3351979517404086,0.0,0.8744489687368703
Montserrat,0.005,0.0,100.0,0.0,0.0,3925.925888888889,3925.925888888889,Norteamérica,MSR,0.7574999851009222,0.0,0.0
