,country,gdp,fossil_share_energy,renewables_share_energy,nuclear_share_energy,energy_per_capita
1235,Bahamas,,,,,33355.142
1236,Bahamas,,,,,31632.976
1237,Bahamas,,,,,32751.069
1238,Bahamas,,,,,
1239,Bahamas,,,,,
1240,Bahamas,,,,,
1341,Bahrain,18.573453312,,,,168378.93
1342,Bahrain,18.176229376,,,,166029.875
1343,Bahrain,17.574588416,,,,168234.319
1344,Bahrain,21.589673984,,,,165840.654
1345,Bahrain,24.214464512,,,,161234.233
1346,Bahrain,32.081874944,,,,168872.324
1347,Bahrain,36.24230912,,,,167202.524
1348,Bahrain,40.256888832,,,,158736.048
1349,Bahrain,52.838674432,,,,154634.334
1350,Bahrain,43.643830272,,,,143756.69
1351,Bahrain,47.179927552,,,,138769.04
1352,Bahrain,47.938297856,,,,133368.644
1353,Bahrain,54.356865024,,,,141063.148
1354,Bahrain,53.839859712,,,,155200.434
1355,Bahrain,52.947091456,,,,149096.597
1356,Bahrain,54.483828736,,,,148831.616
1357,Bahrain,56.079929344,,,,142158.902
1358,Bahrain,,,,,
1359,Bahrain,,,,,
1360,Bahrain,,,,,
1461,Bangladesh,185.0,98.47,1.53,0.0,1065.242
1462,Bangladesh,190.0,98.237,1.763,0.0,1194.631
1463,Bangladesh,201.0,98.719,1.281,0.0,1210.609
1464,Bangladesh,208.0,98.798,1.202,0.0,1261.106
1465,Bangladesh,212.0,98.844,1.156,0.0,1283.587
1466,Bangladesh,224.0,98.933,1.067,0.0,1363.88
1467,Bangladesh,244.0,99.016,0.984,0.0,1457.99
1468,Bangladesh,270.0,99.041,0.959,0.0,1474.081
1469,Bangladesh,301.0,98.851,1.149,0.0,1541.805
1470,Bangladesh,326.0,99.519,0.481,0.0,1676.133
1471,Bangladesh,373.0,99.187,0.813,0.0,1696.825
1472,Bangladesh,432.0,99.106,0.894,0.0,1822.913
1473,Bangladesh,425.0,99.225,0.775,0.0,1929.179
1474,Bangladesh,446.0,99.26,0.74,0.0,1965.017
1475,Bangladesh,466.0,99.395,0.605,0.0,2025.167
1476,Bangladesh,498.0,99.238,0.762,0.0,2355.331
1477,Bangladesh,533.0,99.252,0.748,0.0,2361.492
1478,Bangladesh,,99.149,0.851,0.0,2422.379
1479,Bangladesh,,99.29,0.71,0.0,2551.016
1480,Bangladesh,,99.363,0.637,0.0,2995.38
1481,Bangladesh,,,,,
1502,Barbados,5.645221888,,,,25630.862
1503,Barbados,5.089149952,,,,25646.14
1504,Barbados,4.776456192,,,,25724.167
1505,Barbados,4.74907392,,,,25903.597
1506,Barbados,4.915979776,,,,26001.755
1507,Barbados,4.778480128,,,,26107.969
1508,Barbados,4.642400768,,,,26072.782
1509,Barbados,5.12393984,,,,24697.428
1510,Barbados,4.771380224,,,,29017.296
1511,Barbados,4.493024768,,,,27250.16
1512,Barbados,4.133272064,,,,26169.532
1513,Barbados,3.406690048,,,,27368.33
1514,Barbados,3.0168,,,,25632.641
1515,Barbados,2.76775296,,,,26030.926
1516,Barbados,2.891879936,,,,22560.38
1517,Barbados,2.918729984,,,,24005.514
1518,Barbados,2.956559872,,,,25106.714
1519,Barbados,,,,,
1520,Barbados,,,,,
1521,Barbados,,,,,
1542,Belarus,86.161956864,99.971,0.029,0.0,25871.043
1543,Belarus,83.450003456,99.967,0.033,0.0,25376.272
1544,Belarus,85.045567488,99.969,0.031,0.0,26305.842
1545,Belarus,89.551101952,99.97,0.03,0.0,26369.604
1546,Belarus,96.19456,99.968,0.032,0.0,29892.685
1547,Belarus,101.0,99.965,0.035,0.0,29957.262
1548,Belarus,113.0,99.967,0.033,0.0,31971.222
1549,Belarus,124.0,99.955,0.045,0.0,31338.928
1550,Belarus,144.0,99.909,0.064,0.0,31802.352
1551,Belarus,141.0,99.819,0.098,0.0,30213.447
1552,Belarus,155.0,99.759,0.112,0.0,32120.941
1553,Belarus,173.0,99.773,0.121,0.0,31960.388
1554,Belarus,179.0,99.759,0.137,0.0,34527.105
1555,Belarus,188.0,99.703,0.204,0.0,30426.109
1556,Belarus,193.0,99.722,0.181,0.0,31386.394
1557,Belarus,185.0,99.679,0.238,0.0,28498.766
1558,Belarus,180.0,99.609,0.315,0.0,28325.44
1559,Belarus,,99.287,0.638,0.0,28892.766
1560,Belarus,,99.37,0.555,0.0,30806.835
1561,Belarus,,99.365,0.56,0.0,31081.284
1562,Belarus,,,,,
1663,Belgium,343.0,81.83,0.386,17.785,73153.564
1664,Belgium,343.0,82.457,0.398,17.145,72299.813
1665,Belgium,358.0,82.103,0.42,17.477,71684.098
1666,Belgium,356.0,82.839,0.421,16.74,74007.258
1667,Belgium,361.0,82.923,0.524,16.554,73825.921
1668,Belgium,370.0,82.519,0.741,16.74,72511.815
1669,Belgium,370.0,82.702,1.03,16.269,72171.31
1670,Belgium,382.0,82.185,1.201,16.614,72073.038
1671,Belgium,392.0,83.176,1.487,15.337,72761.131
1672,Belgium,402.0,80.936,2.157,16.907,67471.579
1673,Belgium,420.0,81.271,2.705,16.024,71317.805
1674,Belgium,419.0,79.257,3.553,17.19,66019.642
1675,Belgium,430.0,80.71,4.438,14.852,63041.369
1676,Belgium,438.0,80.037,4.732,15.232,64263.002
1677,Belgium,437.0,81.761,5.397,12.841,59524.366
1678,Belgium,443.0,84.388,5.865,9.747,60020.436
1679,Belgium,448.0,79.361,5.642,14.997,64278.427
1680,Belgium,,79.578,6.121,14.301,64639.19
1681,Belgium,,83.427,6.689,9.884,62624.214
1682,Belgium,,78.684,6.937,14.379,65302.717
1683,Belgium,,,,,
1704,Belize,,,,,9972.86
1705,Belize,,,,,9998.556
1706,Belize,,,,,9317.675
1707,Belize,,,,,8892.158
1708,Belize,,,,,8119.53
1709,Belize,,,,,8503.366
1710,Belize,,,,,9743.36
1711,Belize,,,,,8873.496
1712,Belize,,,,,7933.457
1713,Belize,,,,,8219.246
1714,Belize,,,,,9311.391
1715,Belize,,,,,7625.676
1716,Belize,,,,,7663.199
1717,Belize,,,,,8424.01
1718,Belize,,,,,8061.502
1719,Belize,,,,,8670.147
1720,Belize,,,,,8390.657
1721,Belize,,,,,
1722,Belize,,,,,
1723,Belize,,,,,
1744,Benin,9.855690752,,,,946.739
1745,Benin,10.58677248,,,,1045.551
1746,Benin,11.740367872,,,,1168.231
1747,Benin,12.538386432,,,,1313.939
1748,Benin,13.42064128,,,,1340.647
1749,Benin,14.225961984,,,,1215.399
1750,Benin,14.626272256,,,,1640.792
1751,Benin,15.620586496,,,,1893.477
1752,Benin,16.187101184,,,,1875.964
1753,Benin,16.326744064,,,,2011.664
1754,Benin,16.880384,,,,2242.02
1755,Benin,17.120700416,,,,2022.41
