,country,gdp,low_carbon_share_energy,population,energy_per_capita
1196,Azerbaijan,145.0,3.125,9736000.0,17394.072
1197,Azerbaijan,,2.845,9845000.0,16874.53
1198,Azerbaijan,,2.865,9950000.0,17180.551
1199,Azerbaijan,,2.48,10048000.0,18127.566
1200,Azerbaijan,,,,
1221,Bahamas,,,298000.0,55293.539
1222,Bahamas,,,303000.0,55423.302
1223,Bahamas,,,308000.0,56548.915
1224,Bahamas,,,313000.0,38868.326
1225,Bahamas,,,319000.0,42270.967
1226,Bahamas,,,325000.0,39894.353
1227,Bahamas,,,331000.0,45497.01
1228,Bahamas,,,337000.0,51462.367
1229,Bahamas,,,344000.0,49265.289
1230,Bahamas,,,350000.0,36402.04
1231,Bahamas,,,355000.0,37393.331
1232,Bahamas,,,360000.0,32556.602
1233,Bahamas,,,364000.0,37214.374
1234,Bahamas,,,367000.0,34339.071
1235,Bahamas,,,371000.0,33355.142
1236,Bahamas,,,374000.0,31632.976
1237,Bahamas,,,378000.0,32751.069
1238,Bahamas,,,382000.0,
1239,Bahamas,,,386000.0,
1240,Bahamas,,,389000.0,
1341,Bahrain,18.573453312,,665000.0,168378.93
1342,Bahrain,18.176229376,,698000.0,166029.875
1343,Bahrain,17.574588416,,735000.0,168234.319
1344,Bahrain,21.589673984,,779000.0,165840.654
1345,Bahrain,24.214464512,,830000.0,161234.233
1346,Bahrain,32.081874944,,889000.0,168872.324
1347,Bahrain,36.24230912,,958000.0,167202.524
1348,Bahrain,40.256888832,,1036000.0,158736.048
1349,Bahrain,52.838674432,,1115000.0,154634.334
1350,Bahrain,43.643830272,,1185000.0,143756.69
1351,Bahrain,47.179927552,,1241000.0,138769.04
1352,Bahrain,47.938297856,,1278000.0,133368.644
1353,Bahrain,54.356865024,,1300000.0,141063.148
1354,Bahrain,53.839859712,,1315000.0,155200.434
1355,Bahrain,52.947091456,,1336000.0,149096.597
1356,Bahrain,54.483828736,,1372000.0,148831.616
1357,Bahrain,56.079929344,,1426000.0,142158.902
1358,Bahrain,,,1494000.0,
1359,Bahrain,,,1569000.0,
1360,Bahrain,,,1641000.0,
1461,Bangladesh,185.0,1.53,127658000.0,1065.242
1462,Bangladesh,190.0,1.763,130089000.0,1194.631
1463,Bangladesh,201.0,1.281,132478000.0,1210.609
1464,Bangladesh,208.0,1.202,134792000.0,1261.106
1465,Bangladesh,212.0,1.156,136986000.0,1283.587
1466,Bangladesh,224.0,1.067,139036000.0,1363.88
1467,Bangladesh,244.0,0.984,140920992.0,1457.99
1468,Bangladesh,270.0,0.959,142660000.0,1474.081
1469,Bangladesh,301.0,1.149,144304000.0,1541.805
1470,Bangladesh,326.0,0.481,145924992.0,1676.133
1471,Bangladesh,373.0,0.813,147575008.0,1696.825
1472,Bangladesh,432.0,0.894,149272992.0,1822.913
1473,Bangladesh,425.0,0.775,151006000.0,1929.179
1474,Bangladesh,446.0,0.74,152760992.0,1965.017
1475,Bangladesh,466.0,0.605,154516992.0,2025.167
1476,Bangladesh,498.0,0.762,156256000.0,2355.331
1477,Bangladesh,533.0,0.748,157976992.0,2361.492
1478,Bangladesh,,0.851,159684992.0,2422.379
1479,Bangladesh,,0.71,161376992.0,2551.016
1480,Bangladesh,,0.637,163046000.0,2995.38
1481,Bangladesh,,,,
